"","logFC","logCPM","PValue","FDR"
"112442",7.17966827470955,1.72940378529198,1.37348536092574e-11,2.26962152801513e-07
"83441",-5.90066175620206,1.97522856570153,1.38336728005067e-11,2.26962152801513e-07
"60736",-3.21362405516663,0.852509983554429,5.03482514260375e-06,0.0550692391347523
"44738",3.34547221483848,1.78370844089207,9.02952806151053e-06,0.0740714760705862
"68913",2.78410481058736,0.786903560600928,5.97007795194494e-05,0.391792335674339
"102684",3.48823914771051,1.70640231150926,0.000151400705813856,0.827985226645012
"111962",-3.8882332452566,3.65706473324703,0.000176882721553482,0.82915039176206
"91903",-4.01248830347628,1.42491652224464,0.000255632814790316,0.913526693753476
"105125",3.04711956025235,5.49529084671267,0.000278172675838422,0.913526693753476
"59838",1.86562351007007,3.76034198901698,0.00027840389289412,0.913526693753476
"112439",-2.68379022193179,2.45943426770881,0.000362639832231014,1
"66604",-2.56628186065898,3.3016144624889,0.000521994183733618,1
"43282",-3.39276884115532,7.69142520060151,0.000588684256004618,1
"86064",3.62374276879443,2.46362880722962,0.000642332510590018,1
"54674",4.27634899178348,2.94183507467388,0.000735142522295975,1
"73595",3.65677889792531,3.28061225107382,0.000742017901342905,1
"54611",2.46155341883259,0.908478394258244,0.000761765510410725,1
"49508",-2.49881748716913,1.26768426221704,0.000825300555351585,1
"65850",-0.873222825679251,6.52575026586961,0.000865278585728297,1
"52710",-3.56212776986579,1.06987240297509,0.000903362185032588,1
"110354",-2.95116310268644,1.62073408416089,0.000929078847757251,1
"81479",-3.46553886536597,1.37750649629934,0.00101857177186171,1
"107441",-1.88049256951688,1.59404033777504,0.00105212973266054,1
"69539",1.30805460854873,4.33080302040354,0.00112372255253923,1
"51720",-3.19235649921057,0.80486390238817,0.00129147513651334,1
"41608",2.11309210525812,2.68596155358811,0.00131519905123134,1
"65512",2.58366506352245,0.785977811717741,0.00140248060912002,1
"100944",-2.11764423717918,1.04113598748382,0.0014704738345939,1
"39327",-2.54379130481108,1.40249868511666,0.0015302382383783,1
"27784",-3.20481114344923,2.75446701935754,0.00155704868924627,1
"53746",3.37624938550646,1.52951429615304,0.00162953197527633,1
"54398",-2.74538886512134,1.13119442539016,0.00215444414455194,1
"107772",-2.09046471375048,1.02510679790186,0.00221003298011991,1
"34645",-3.50543645811715,2.33707599751563,0.00224585715557007,1
"59496",-2.50289990854327,1.24941350396028,0.00230549034866132,1
"106977",-2.50060775997982,1.98800955725025,0.00232147177043075,1
"108006",3.04801906018602,1.09681920578683,0.00232424458885854,1
"34672",2.87270596526679,1.20747426887024,0.00235948523925867,1
"29718",-1.87143210713353,0.85113570800735,0.00254858981924812,1
"56335",-2.42728773244778,1.09710580844205,0.0027649144910099,1
"65522",-2.84773035608375,0.952794284622036,0.00296153544409435,1
"55551",3.08621804498752,1.83526107375996,0.00300135428700175,1
"65857",2.14461734319932,5.77667143966722,0.00305135644171836,1
"71710",-2.88531655718135,1.77218115889704,0.00315517896571265,1
"105128",1.69335272707381,4.89176145525857,0.00341167350641438,1
"39031",1.8768929568312,3.07608662611556,0.00350119114146502,1
"93522",2.16290709505606,0.704736780792329,0.00353912769178712,1
"104011",-3.55896654928784,1.70815576166905,0.00368608594532479,1
"33133",-1.87058194407275,2.04075949819701,0.00378039773573082,1
"96275",1.00273893860121,4.17696225759936,0.00389135934470003,1
"32739",-2.37757566940421,1.219554713343,0.00393853043955159,1
"95017",0.96598222164756,6.65033201727338,0.00406703820268064,1
"104633",1.85092473466167,1.18264295566851,0.00408450865115269,1
"65079",2.81653586524142,1.66567058367119,0.00415775617254332,1
"66012",1.41735495791968,2.7391046217779,0.00422757673093452,1
"41456",1.69180118743269,1.06292648778775,0.00447394914673456,1
"112711",-3.61377567556875,2.65844206431586,0.00472812079341245,1
"39898",-1.35578422754674,3.23417725483713,0.00523741008579674,1
"89991",-1.96071795143665,0.645038918539146,0.00537814162457812,1
"107963",0.990954691238133,4.78500796063625,0.00544721990171603,1
"56630",2.61139514278269,0.926571315527072,0.00557026419717273,1
"60906",3.34426536646563,2.59430667550417,0.00587659480741895,1
"10073",-1.79217600865484,0.811802701302775,0.00599752384662644,1
"80770",-1.08891286176318,3.48875839172381,0.00606916231111444,1
"42697",-1.38812957726717,1.77632589311558,0.0060743977899046,1
"109459",-1.40485139464698,5.6697019641716,0.00656665094530901,1
"55819",1.53386636957863,1.5795168926438,0.0065908422534163,1
"108223",-1.94568255012074,2.56824587600034,0.00659753491353034,1
"111799",2.48903616957054,2.4549004701435,0.00663598712421232,1
"60160",-1.63449155664424,1.45418315378803,0.00671170866937309,1
"43873",-2.0947233158511,1.89950043991839,0.00676656183591911,1
"33020",2.04538689118647,0.658368906456009,0.00681826727267862,1
"31892",-2.09976696982512,2.81455522720188,0.00694223033937571,1
"86335",-2.46744208698161,1.15522894701571,0.00702202291931258,1
"96661",1.54834202347457,0.982511817700255,0.00712477135335204,1
"66492",2.52146261524017,2.32469998794645,0.00747994038061696,1
"64539",0.865929744241584,5.94777406941592,0.0074867744718396,1
"77193",-1.94829148712842,0.510896508605286,0.00754874187466126,1
"71920",2.57954689354146,1.43383365597934,0.00762205025713662,1
"94094",-1.70027495799649,1.87522352779853,0.00767389869750298,1
"99749",-2.18747404453024,3.80497321283426,0.00788376222455444,1
"99741",-2.03561529895044,4.97930132270828,0.00804277028055104,1
"97711",-1.62368353857382,0.807998859512427,0.00811576008728788,1
"109827",-2.80797395394836,3.30641721327032,0.00812737311930257,1
"105189",2.85642384699649,1.31000850098476,0.00813790147377593,1
"57266",-2.77644772703844,1.76249626451271,0.00825570703977955,1
"36056",-2.43899367365582,1.81830175488333,0.00830134167898077,1
"98109",-1.95075792314846,1.64509946725168,0.00838338768228076,1
"86538",-1.26065649895195,3.75573690082967,0.00869075256271185,1
"63333",2.67457024205618,0.84241118430757,0.00912525799525359,1
"111231",-1.28926816904767,6.34503592036117,0.00976771731571877,1
"92493",0.777431713073586,7.44671658963831,0.00980836549014245,1
"68212",-2.80297372470902,1.39612004142132,0.00983405829381335,1
"92564",3.4213392629358,1.95557192481888,0.00986591088865258,1
"85782",1.65100477161495,0.749114970616545,0.0103879424041452,1
"111592",-1.99491178879421,1.26565048446053,0.0104747217160167,1
"88419",-2.41892982205656,2.35547788873442,0.0104851629745851,1
"109435",-2.44174826230094,1.35790913185653,0.0105978045623519,1
"38284",-2.56012761499805,1.05222181766138,0.0106117312903228,1
"29352",2.09185818861005,0.443123338416348,0.0107041730431838,1
"57216",-1.61713525255222,0.802836336502881,0.0108570035381114,1
"26231",2.40863388174041,0.882990889952539,0.010933486711694,1
"55873",1.11151417679265,3.34543768524242,0.0112279948799502,1
"71404",-2.30506738348111,0.817438616896417,0.0112382502837673,1
"91774",0.843358914679964,4.91369834506907,0.0112844653031485,1
"72003",-1.84304640647168,2.55711472529884,0.0113946885743663,1
"41780",1.55286920991136,3.03829163493706,0.0115201277118358,1
"109509",-0.779919060051888,4.97698335580352,0.0117387540936511,1
"86084",-1.85345377302733,1.13625969137385,0.0120461767483699,1
"30684",2.97005328756529,1.90771666072911,0.0122609574077641,1
"45051",-1.23072455530325,4.15812687601959,0.0123114277731872,1
"32149",-3.05492189917355,1.44077049739023,0.0124133080477065,1
"76864",-1.8751964020325,0.922864823879681,0.012414529130383,1
"113698",-1.8832434640785,1.79164544366287,0.0125352164769345,1
"111502",1.05526729701117,5.47595464158513,0.0127366027100384,1
"55641",2.17459869307794,0.971175188021833,0.0128773991501579,1
"52993",-1.39901667344413,2.47938973416549,0.0129530440949497,1
"43617",1.63523517549805,2.37149525464137,0.0129715665950928,1
"98106",1.98833525152781,2.12565774795963,0.0131711189334405,1
"75607",1.68536376634737,1.33453629378674,0.013468475275954,1
"77129",0.688916678555169,5.20514475783243,0.0136294159037184,1
"64155",1.87200485405816,3.04957725946585,0.0137974647867594,1
"45861",3.09997789489293,3.04713921252293,0.0139152501870128,1
"109592",0.851335280424677,4.74080688949853,0.0142835160502776,1
"41839",-2.16674420549422,2.13986828713229,0.0145918600172094,1
"50145",0.711262042888115,6.92953706081492,0.0147768768849318,1
"95351",-2.56756727595152,1.52829743032791,0.0149958447440621,1
"110147",-1.08451602069447,4.21644005385285,0.0154829270099725,1
"44258",1.51461383164414,0.695692761613178,0.0156282491729749,1
"53611",1.33389476402646,3.28914531181755,0.0163660951778188,1
"82222",1.55775946641769,0.982063422301608,0.0164663263481724,1
"89381",-1.40017437128127,1.29905896075477,0.0166245707230252,1
"84439",-2.49178097513668,1.26128704108801,0.016768099093774,1
"94378",2.47457692641941,1.32566111171436,0.0167722241891758,1
"109502",-1.86973113270342,2.963656281086,0.0168161808911697,1
"99221",-2.25676924977994,0.7618410955558,0.0169214585213887,1
"55892",-1.92299105325016,1.03513935029751,0.0170245725985294,1
"101840",1.55221694342066,2.91297909477911,0.0170353795243576,1
"111196",-1.36582309320732,3.28209325446762,0.0172733846711986,1
"37152",1.66372249374731,1.6156019346769,0.017360457329122,1
"79301",-1.26068283888757,3.84760754103362,0.017470621337072,1
